,match_id,date,referee,variable,value,venue,team_id,team_name
0,3597749,2021-07-25 07:00:00,Aydin Uslu,fouls_for,15,H,10202,Nordsjælland
1,3597749,2021-07-25 07:00:00,Aydin Uslu,fouls_ag,14,H,10202,Nordsjælland
2,3597742,2021-07-18 07:00:00,Morten Krogh,fouls_for,12,H,10202,Nordsjælland
3,3597742,2021-07-18 07:00:00,Morten Krogh,fouls_ag,21,H,10202,Nordsjælland
4,3597744,2021-07-18 09:00:00,Mads-Kristoffer Kristoffersen,fouls_for,8,H,8391,FC København
5,3597744,2021-07-18 09:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,16,H,8391,FC København
6,3597743,2021-07-18 07:00:00,Jonas Hansen,fouls_for,10,H,8231,Vejle Boldklub
7,3597743,2021-07-18 07:00:00,Jonas Hansen,fouls_ag,19,H,8231,Vejle Boldklub
8,3597741,2021-07-16 12:00:00,Sandi Putros,fouls_for,10,H,8113,Midtjylland
9,3597741,2021-07-16 12:00:00,Sandi Putros,fouls_ag,20,H,8113,Midtjylland
10,3597750,2021-07-25 07:00:00,Jakob Sundberg,fouls_for,15,H,8410,Randers FC
11,3597750,2021-07-25 07:00:00,Jakob Sundberg,fouls_ag,12,H,8410,Randers FC
12,3597745,2021-07-18 12:00:00,Jens Grabski Maae,fouls_for,10,H,8071,AGF Aarhus
13,3597745,2021-07-18 12:00:00,Jens Grabski Maae,fouls_ag,15,H,8071,AGF Aarhus
14,3597752,2021-07-25 11:00:00,Joergen Daugbjerg Burchardt,fouls_for,9,H,8595,Brøndby IF
15,3597752,2021-07-25 11:00:00,Joergen Daugbjerg Burchardt,fouls_ag,9,H,8595,Brøndby IF
16,3597746,2021-07-19 12:00:00,Mikkel Redder,fouls_for,8,H,8415,Silkeborg
17,3597746,2021-07-19 12:00:00,Mikkel Redder,fouls_ag,4,H,8415,Silkeborg
18,3597748,2021-07-24 11:00:00,Jakob Kehlet,fouls_for,16,H,8470,Aalborg BK
19,3597748,2021-07-24 11:00:00,Jakob Kehlet,fouls_ag,6,H,8470,Aalborg BK
20,3597759,2021-08-01 07:00:00,Sandi Putros,fouls_for,9,H,8415,Silkeborg
21,3597759,2021-08-01 07:00:00,Sandi Putros,fouls_ag,11,H,8415,Silkeborg
22,3597751,2021-07-25 09:00:00,Peter Kjaersgaard,fouls_for,6,H,8391,FC København
23,3597751,2021-07-25 09:00:00,Peter Kjaersgaard,fouls_ag,9,H,8391,FC København
24,3597753,2021-07-26 12:00:00,Michael Tykgaard,fouls_for,11,H,8487,SønderjyskE
25,3597753,2021-07-26 12:00:00,Michael Tykgaard,fouls_ag,16,H,8487,SønderjyskE
26,3597758,2021-08-02 12:00:00,Jens Grabski Maae,fouls_for,8,H,8487,SønderjyskE
27,3597758,2021-08-02 12:00:00,Jens Grabski Maae,fouls_ag,14,H,8487,SønderjyskE
28,3597757,2021-07-31 09:00:00,Anders Poulsen,fouls_for,6,H,9939,Viborg
29,3597757,2021-07-31 09:00:00,Anders Poulsen,fouls_ag,8,H,9939,Viborg
30,3597754,2021-08-01 07:00:00,Mads-Kristoffer Kristoffersen,fouls_for,13,H,8071,AGF Aarhus
31,3597754,2021-08-01 07:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,13,H,8071,AGF Aarhus
32,3597756,2021-08-01 09:00:00,Jakob Sundberg,fouls_for,6,H,8231,Vejle Boldklub
33,3597756,2021-08-01 09:00:00,Jakob Sundberg,fouls_ag,13,H,8231,Vejle Boldklub
34,3597755,2021-08-01 11:00:00,Jakob Kehlet,fouls_for,11,H,8414,Odense
35,3597755,2021-08-01 11:00:00,Jakob Kehlet,fouls_ag,5,H,8414,Odense
36,3597760,2021-08-06 13:30:00,Mikkel Redder,fouls_for,15,H,8113,Midtjylland
37,3597760,2021-08-06 13:30:00,Mikkel Redder,fouls_ag,8,H,8113,Midtjylland
38,3597765,2021-08-06 11:30:00,Jens Grabski Maae,fouls_for,9,H,8415,Silkeborg
39,3597765,2021-08-06 11:30:00,Jens Grabski Maae,fouls_ag,13,H,8415,Silkeborg
40,3597771,2021-08-13 10:30:00,Morten Krogh,fouls_for,9,H,8487,SønderjyskE
41,3597771,2021-08-13 10:30:00,Morten Krogh,fouls_ag,12,H,8487,SønderjyskE
42,3597762,2021-08-08 11:00:00,Joergen Daugbjerg Burchardt,fouls_for,24,H,8470,Aalborg BK
43,3597762,2021-08-08 11:00:00,Joergen Daugbjerg Burchardt,fouls_ag,14,H,8470,Aalborg BK
44,3597769,2021-08-16 12:00:00,Jakob Kehlet,fouls_for,8,H,8231,Vejle Boldklub
45,3597769,2021-08-16 12:00:00,Jakob Kehlet,fouls_ag,13,H,8231,Vejle Boldklub
46,3597761,2021-08-08 09:00:00,Mads-Kristoffer Kristoffersen,fouls_for,10,H,8391,FC København
47,3597761,2021-08-08 09:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,8,H,8391,FC København
48,3597764,2021-08-08 07:00:00,Michael Tykgaard,fouls_for,5,H,8410,Randers FC
49,3597764,2021-08-08 07:00:00,Michael Tykgaard,fouls_ag,9,H,8410,Randers FC
50,3597763,2021-08-09 12:00:00,Sandi Putros,fouls_for,11,H,10202,Nordsjælland
51,3597763,2021-08-09 12:00:00,Sandi Putros,fouls_ag,10,H,10202,Nordsjælland
52,3597772,2021-08-20 12:00:00,Mads-Kristoffer Kristoffersen,fouls_for,5,H,8113,Midtjylland
53,3597772,2021-08-20 12:00:00,Mads-Kristoffer Kristoffersen,fouls_ag,5,H,8113,Midtjylland
54,3597770,2021-08-13 12:15:00,Aydin Uslu,fouls_for,7,H,9939,Viborg
55,3597770,2021-08-13 12:15:00,Aydin Uslu,fouls_ag,7,H,9939,Viborg
56,3597766,2021-08-13 14:00:00,Peter Kjaersgaard,fouls_for,7,H,8595,Brøndby IF
57,3597766,2021-08-13 14:00:00,Peter Kjaersgaard,fouls_ag,15,H,8595,Brøndby IF
58,3597768,2021-08-15 09:00:00,Jonas Hansen,fouls_for,6,H,8414,Odense
59,3597768,2021-08-15 09:00:00,Jonas Hansen,fouls_ag,13,H,8414,Odense
60,3597767,2021-08-15 11:00:00,Jakob Sundberg,fouls_for,10,H,8071,AGF Aarhus
61,3597767,2021-08-15 11:00:00,Jakob Sundberg,fouls_ag,15,H,8071,AGF Aarhus
62,3597780,2021-08-27 12:00:00,Aydin Uslu,fouls_for,14,H,8470,Aalborg BK
63,3597780,2021-08-27 12:00:00,Aydin Uslu,fouls_ag,12,H,8470,Aalborg BK
64,3597774,2021-08-21 11:00:00,Joergen Daugbjerg Burchardt,fouls_for,10,H,8414,Odense
65,3597774,2021-08-21 11:00:00,Joergen Daugbjerg Burchardt,fouls_ag,8,H,8414,Odense
66,3597775,2021-08-23 12:05:00,Anders Poulsen,fouls_for,11,H,10202,Nordsjælland
67,3597775,2021-08-23 12:05:00,Anders Poulsen,fouls_ag,12,H,10202,Nordsjælland
68,3597776,2021-08-22 11:00:00,Michael Tykgaard,fouls_for,16,H,9939,Viborg
